"Potential, V","Current, A"
-0.501,-2.9875e-06
-0.5,-2.98255e-06
-0.499,-2.97759e-06
-0.498,-2.97363e-06
-0.497,-2.96868e-06
-0.496,-2.96472e-06
-0.495,-2.95976e-06
-0.494,-2.95581e-06
-0.493,-2.95085e-06
-0.492,-2.94689e-06
-0.491,-2.94294e-06
-0.49,-2.93798e-06
-0.489,-2.93302e-06
-0.488,-2.92907e-06
-0.487,-2.92411e-06
-0.486,-2.92015e-06
-0.485,-2.9162e-06
-0.484,-2.91124e-06
-0.483,-2.90728e-06
-0.482,-2.90333e-06
-0.481,-2.89837e-06
-0.48,-2.89441e-06
-0.479,-2.89046e-06
-0.478,-2.8865e-06
-0.477,-2.88254e-06
-0.476,-2.87759e-06
-0.475,-2.87363e-06
-0.474,-2.86867e-06
-0.473,-2.86472e-06
-0.472,-2.86076e-06
-0.471,-2.8568e-06
-0.47,-2.85184e-06
-0.469,-2.84789e-06
-0.468,-2.84393e-06
-0.467,-2.83897e-06
-0.466,-2.83602e-06
-0.465,-2.83106e-06
-0.464,-2.8271e-06
-0.463,-2.82315e-06
-0.462,-2.81919e-06
-0.461,-2.81523e-06
-0.46,-2.81028e-06
-0.459,-2.80632e-06
-0.458,-2.80236e-06
-0.457,-2.79841e-06
-0.456,-2.79445e-06
-0.455,-2.79049e-06
-0.454,-2.78654e-06
-0.453,-2.78258e-06
-0.452,-2.77762e-06
-0.451,-2.77467e-06
-0.45,-2.77071e-06
-0.449,-2.76575e-06
-0.448,-2.7618e-06
-0.447,-2.75784e-06
-0.446,-2.75488e-06
-0.445,-2.75093e-06
-0.444,-2.74597e-06
-0.443,-2.74301e-06
-0.442,-2.73906e-06
-0.441,-2.7341e-06
-0.44,-2.73114e-06
-0.439,-2.72719e-06
-0.438,-2.72323e-06
-0.437,-2.71927e-06
-0.436,-2.71532e-06
-0.435,-2.71236e-06
-0.434,-2.7084e-06
-0.433,-2.70444e-06
-0.432,-2.70149e-06
-0.431,-2.69753e-06
-0.43,-2.69357e-06
-0.429,-2.68962e-06
-0.428,-2.68566e-06
-0.427,-2.6827e-06
-0.426,-2.67875e-06
-0.425,-2.67479e-06
-0.424,-2.67183e-06
-0.423,-2.66788e-06
-0.422,-2.66392e-06
-0.421,-2.66096e-06
-0.42,-2.65701e-06
-0.419,-2.65305e-06
-0.418,-2.65009e-06
-0.417,-2.64614e-06
-0.416,-2.64218e-06
-0.415,-2.63922e-06
-0.414,-2.63527e-06
-0.413,-2.63231e-06
-0.412,-2.62835e-06
-0.411,-2.6254e-06
-0.41,-2.62144e-06
-0.409,-2.61748e-06
-0.408,-2.61453e-06
-0.407,-2.61157e-06
-0.406,-2.60761e-06
-0.405,-2.60466e-06
-0.404,-2.6007e-06
-0.403,-2.59774e-06
-0.402,-2.59479e-06
-0.401,-2.59083e-06
-0.4,-2.58787e-06
-0.399,-2.58492e-06
-0.398,-2.58096e-06
-0.397,-2.578e-06
-0.396,-2.57404e-06
-0.395,-2.57109e-06
-0.394,-2.56813e-06
-0.393,-2.56417e-06
-0.392,-2.56122e-06
-0.391,-2.55726e-06
-0.39,-2.5543e-06
-0.389,-2.55135e-06
-0.388,-2.54739e-06
-0.387,-2.54443e-06
-0.386,-2.54148e-06
-0.385,-2.53752e-06
-0.384,-2.53456e-06
-0.383,-2.53161e-06
-0.382,-2.52765e-06
-0.381,-2.52469e-06
-0.38,-2.52074e-06
-0.379,-2.51778e-06
-0.378,-2.51482e-06
